hour,processes,electromobility,heating,occupancy,servers,hot_water,cooling,lighting,appliances
Sunday_09,0,0,OFF,0.0,0,0.0,OFF,0.41,0.43
Sunday_10,0,0,OFF,0.0,0,0.0,OFF,0.54,0.57
Sunday_11,0,0,OFF,0.0,0,0.0,OFF,0.54,0.57
Sunday_12,0,0,OFF,0.0,0,0.0,OFF,0.29,0.3
Sunday_13,0,0,OFF,0.0,0,0.0,OFF,0.41,0.43
Sunday_14,0,0,OFF,0.0,0,0.0,OFF,0.54,0.57
Sunday_15,0,0,OFF,0.0,0,0.0,OFF,0.54,0.57
Sunday_16,0,0,OFF,0.0,0,0.0,OFF,0.29,0.3
Sunday_17,0,0,OFF,0.0,0,0.0,OFF,0.16,0.17
Sunday_18,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_19,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_20,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_21,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_22,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_23,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
