NODE0,NODE1,NODE2,NODE3,NODE4,NODE5,NODE6,NODE7,NODE8,NODE9,NODE10,NODE11,NODE12,NODE13,NODE14,NODE15,NODE16,NODE17,NODE18,NODE19,NODE20,NODE21,NODE22,NODE23,NODE24,NODE25,NODE26,NODE27,NODE28,NODE29,NODE30,NODE31,NODE32,NODE33,NODE34,NODE35,NODE36,NODE37,NODE38
0.0,0.9249999,0.99400383,0.0,0.0,0.0,0.0,0.0,0.0,0.74899876,0.4640011,0.0,0.0,0.0,0.0,0.892,0.0,1.7049943,0.0,0.0,0.0,0.83199775,0.0,0.0,0.0,0.7139996,0.7339999,0.40000024,0.0,0.0,0.0,0.5739992,0.0,0.0,0.0,0.0,0.0,0.735998,9.718994
0.0,0.9439962,1.0100045,0.0,0.0,0.0,0.0,0.0,0.0,0.7589969,0.43999988,0.0,0.0,0.0,0.0,0.9149958,0.0,1.6979918,0.0,0.0,0.0,0.8480019,0.0,0.0,0.0,0.71999747,0.7419984,0.3880036,0.0,0.0,0.0,0.5640023,0.0,0.0,0.0,0.0,0.0,0.7440026,9.771993
0.0,0.98900265,1.0440012,0.0,0.0,0.0,0.0,0.0,0.0,0.7830004,0.43099946,0.0,0.0,0.0,0.0,0.9620042,0.0,1.7580041,0.0,0.0,0.0,0.88300127,0.0,0.0,0.0,0.7420015,0.76400197,0.39299816,0.0,0.0,0.0,0.5690007,0.0,0.0,0.0,0.0,0.0,0.7649979,10.0830145
0.0,1.201003,1.2399992,0.0,0.0,0.0,0.0,0.0,0.0,0.9219993,0.4460002,0.0,0.0,0.0,0.0,1.178002,0.0,2.1970086,0.0,0.0,0.0,1.0609969,0.0,0.0,0.0,0.8659986,0.89400077,0.4569963,0.0,0.0,0.0,0.67199904,0.0,0.0,0.0,0.0,0.0,0.8950029,12.029007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59400076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012995565,0.0,0.0,0.0,0.0,0.0,0.0,1.7819988,0.0,0.0,0.0,2.38902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4649999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012995565,0.0,0.0,0.0,0.0,0.0,0.0,1.470001,0.0,0.0,0.0,1.9480053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0320011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012995565,0.0,0.0,0.0,0.0,0.0,0.0,1.9290004,0.0,0.0,0.0,2.9740043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6640003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012995565,0.0,0.0,0.0,0.0,0.0,0.0,2.4200013,0.0,0.0,0.0,4.0970006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43200082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,1.1700015,0.0,0.0,0.0,1.6180055
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,1.1349992,0.0,0.0,0.0,1.5840054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016004246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0160046
