B1005,B1006,B1001,B1011,B1014,B1008,B1000,B1007,B1003,B1004,B1012,B1013,B1010,B1002
0.06884486,0.06750636,0.049694207,0.025776815,0.0,0.056635477,0.15847826,0.053807665,0.04286379,0.052214652,0.050321594,0.04886538,0.0,0.04671688
0.052775487,0.053593945,0.039678555,0.023759736,0.0221779,0.04588635,0.122830085,0.043233216,0.035035618,0.041093994,0.042291958,0.038203467,0.0,0.03768768
0.04236866,0.043151043,0.031964116,0.0193736,0.014822965,0.036794815,0.09529041,0.03468143,0.028332705,0.03308173,0.03464052,0.029768728,0.0,0.030333884
0.028991327,0.02998795,0.0223353,0.014191063,0.011609934,0.02556614,0.06489395,0.024150264,0.020066164,0.022997053,0.023058591,0.020569356,0.0,0.021360544
0.034556884,0.036238883,0.02708095,0.016692491,0.021646043,0.031612176,0.07626607,0.02957054,0.024457831,0.027449593,0.024881754,0.023904432,0.0,0.02590741
0.049978234,0.052582584,0.039053533,0.02167066,0.030666497,0.04723925,0.108918846,0.043589346,0.035497356,0.039235055,0.031178733,0.033434037,0.0,0.037444178
0.028790714,0.030098714,0.022416715,0.012441364,0.017852822,0.02636283,0.060160834,0.024653725,0.020245701,0.022776991,0.018534347,0.01885156,0.0,0.02149817
0.01591759,0.016505647,0.012354264,0.0076621757,0.0,0.013994135,0.032052528,0.013331014,0.01118254,0.012659092,0.011660473,0.010471857,0.0,0.011902503
0.016453434,0.016979726,0.012691669,0.007483953,0.0,0.014492327,0.03257835,0.013747435,0.011402558,0.012975677,0.011512778,0.010513225,0.0,0.012185716
0.017906327,0.01823348,0.0135913575,0.007665229,0.0,0.015704395,0.035041057,0.014802963,0.012162785,0.01393918,0.012260309,0.011094683,0.0,0.013007338
0.02299906,0.02295451,0.016994486,0.008270811,0.0,0.019913653,0.04572866,0.018668707,0.014979702,0.017504064,0.013766488,0.013966643,0.0,0.016132275
0.0,0.0,0.0,0.0,0.024848321,0.0,0.0,0.0,0.0,0.0,0.00067787926,0.0,0.0061985203,0.0
0.0,0.0,0.0,0.0,0.015409252,0.0,0.0,0.0,0.0,0.0,0.0005134001,0.0,0.0081171,0.0
0.0,0.0,0.0,0.0,0.056446534,0.0,0.0,0.0,0.0,0.0,0.0009817143,0.0,0.0070813373,0.0
0.0,0.0,0.0,0.0,0.13905104,0.0,0.0,0.0,0.0,0.0,0.0017338846,0.0,0.012229012,0.0
0.0,0.0,0.0,0.0,0.011385134,0.0,0.0,0.0,0.0,0.0,0.0004804533,0.0,0.008774034,0.0
0.0,0.0,0.0,0.0,0.01118746,0.0,0.0,0.0,0.0,0.0,0.00046860692,0.0,0.008778342,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009669688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0067015183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0062489486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.010726943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011787438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009783804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.03246953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039913715,0.0
0.0,0.0,0.0,0.0,0.01963279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068827597,0.0
0.0,0.0,0.0,0.0,0.07406226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033368184,0.0
0.0,0.0,0.0,0.0,0.15074569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016597178,0.0
0.0,0.0,0.0,0.0,0.013743738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008760844,0.0
0.0,0.0,0.0,0.0,0.013616888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088449735,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
