thermal_loss_supply_kW,thermal_loss_return_kW,thermal_loss_total_kW
-0.07986402279296291,-0.0749820350332917,-0.1548460578262546
-0.08286668383944515,-0.07780114716870964,-0.1606678310081548
-0.0803578544018557,-0.07544567933447317,-0.15580353373632888
-0.08134052555524862,-0.0763689254353783,-0.15770945099062691
-0.08088182816685349,-0.07593826401030218,-0.15682009217715567
-0.08158284149122909,-0.07659643082155732,-0.1581792723127864
-0.08226035473508865,-0.07723253389634024,-0.1594928886314289
-0.08146018874272867,-0.07648127471037142,-0.1579414634531001
-0.0804253855974236,-0.07550971958825282,-0.15593510518567644
-0.08232312305117036,-0.07729146576108875,-0.1596145888122591
-0.08147152413362074,-0.07649191727251653,-0.15796344140613727
-0.0825910178818383,-0.07754233232421916,-0.16013335020605746
-0.08030521214558599,-0.07539625503249558,-0.1557014671780816
-0.0808474200412572,-0.07590531843699776,-0.15675273847825494
-0.08018376748607743,-0.07528223413265134,-0.15546600161872876
-0.08227035905455778,-0.07724127496998688,-0.15951163402454466
-0.08117331315717118,-0.0762112901153096,-0.15738460327248077
-0.08072754775624663,-0.07579277379676541,-0.15652032155301204
-0.08061891253069378,-0.07569077930560955,-0.15630969183630333
-0.08079914495616405,-0.07585999434945871,-0.15665913930562275
-0.08253404500600524,-0.07748884213084695,-0.1600228871368522
-0.08189014032301047,-0.07688429853459747,-0.15877443885760795
-0.08132651721385786,-0.07635512900139427,-0.15768164621525213
-0.08190553281070266,-0.07689875009946573,-0.1588042829101684
-0.08152925468018661,-0.07654547337945626,-0.15807472805964287
-0.08140380807442536,-0.076427695168388,-0.15783150324281336
-0.0837329851401128,-0.07861449255312343,-0.16234747769323624
-0.08231186924241146,-0.07728024769175468,-0.15959211693416614
-0.08000719876567669,-0.07511645883752419,-0.15512365760320088
-0.08135596572524374,-0.07638277736016652,-0.15773874308541025
-0.08106153806753853,-0.07610698989378337,-0.1571685279613219
-0.08114344792168379,-0.07618389334958742,-0.1573273412712712
-0.0812296512377476,-0.0762648278481472,-0.1574944790858948
-0.08151990116675681,-0.07653733746142209,-0.1580572386281789
-0.08072854906389561,-0.07579435345274448,-0.15652290251664008
-0.08206179959226213,-0.07704611460804262,-0.15910791420030473
-0.08144771932597167,-0.0764695674350046,-0.15791728676097627
-0.08185227193928983,-0.07684939345814729,-0.15870166539743713
-0.08028226810052363,-0.07537534955162388,-0.15565761765214753
-0.08118236968194915,-0.07622043618009954,-0.1574028058620487
-0.08140099684612945,-0.0764250557853175,-0.15782605263144694
-0.0809949085702903,-0.07604379117754421,-0.15703869974783452
-0.08169085789612897,-0.07669719799210359,-0.15838805588823257
-0.0810394490386691,-0.07608560894250863,-0.1571250579811777
-0.08195282014037109,-0.0769437960697251,-0.15889661621009618
-0.08113696295536203,-0.07617780475048946,-0.1573147677058515
-0.08180856646505273,-0.07680835929821339,-0.15861692576326614
-0.08031608423436336,-0.07540709881542706,-0.15572318304979044
-0.08081413051695367,-0.07587470409824498,-0.15668883461519867
-0.08060023860779075,-0.075673885439271,-0.15627412404706176
-0.081425468948334,-0.0764486770192836,-0.1578741459676176
-0.08245358581325714,-0.07741395453183275,-0.15986754034508988
-0.08174079443570358,-0.07674472955192746,-0.15848552398763105
-0.07985826949852394,-0.07497726609368338,-0.1548355355922073
-0.08195711133718575,-0.07694782498588984,-0.1589049363230756
-0.08367094889285749,-0.07855691137448792,-0.16222786026734543
-0.07994135278933245,-0.07505527126593205,-0.1549966240552645
-0.08169467608841818,-0.07670142999690681,-0.158396106085325
-0.08164447370370326,-0.07665429602297869,-0.15829876972668194
-0.08090644011915937,-0.07596137166048922,-0.1568678117796486
-0.07998143874508457,-0.07509290713454918,-0.15507434587963376
-0.08129814815410967,-0.07632913817674461,-0.15762728633085427
-0.08138090341201581,-0.0764061906393257,-0.1577870940513415
-0.08108568323772335,-0.07612901690448093,-0.1572147001422043
-0.08091406525819596,-0.07596788971487456,-0.1568819549730705
-0.08308917450660462,-0.07801003725844698,-0.1610992117650516
-0.07991339743149435,-0.07502902456261801,-0.15494242199411234
-0.0829309249130345,-0.0778621182712059,-0.1607930431842404
-0.08029669025559119,-0.07538825407592056,-0.15568494433151175
-0.08163574880099714,-0.07664545764628097,-0.1582812064472781
-0.08051855855568624,-0.07559655984444737,-0.1561151184001336
-0.08085499136850588,-0.07591242694018187,-0.15676741830868773
