B1000,B1001,B1002,B1003,B1004,B1005,B1006,B1007,B1008,B1010,B1011,B1012,B1013,B1014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2697.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2714.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2596.0,0.0,0.0
600859.0,198367.0,190157.0,183632.0,190151.0,271139.0,270242.0,235406.0,269451.0,0.0,134528.0,243145.0,166530.0,0.0
525001.0,180785.0,173609.0,167680.0,173589.0,245535.0,245866.0,213436.0,243493.0,0.0,128395.99999999999,223126.0,147700.0,105550.0
481650.0,171720.0,164843.0,159610.0,164810.0,232359.0,233464.0,202299.0,230811.0,0.0,124107.0,208324.0,136497.0,84093.0
417177.0,153779.0,147935.0,143418.0,147858.0,206293.0,208551.0,179943.0,204290.0,0.0,108810.0,177565.0,119712.0,80958.0
385790.0,147664.0,141355.0,137393.0,140961.0,196639.0,199054.0,171241.0,194070.0,0.0,91817.0,149869.0,110054.0,157809.0
382575.0,147290.0,141488.0,137127.0,141349.0,198503.0,200064.0,172679.0,195856.0,0.0,84004.0,141160.0,108390.0,241534.0
347763.0,137446.0,132161.0,127998.0,132011.0,184324.0,186183.0,160746.0,182173.0,0.0,83283.0,135307.0,99989.0,153093.0
298330.0,123253.0,118880.0,115139.0,118698.0,163356.0,166502.0,142945.0,160834.0,5199.0,80359.0,124844.0,88347.0,0.0
291511.0,121806.0,117381.0,113558.0,117131.0,161535.0,164631.0,141533.0,159318.0,6316.0,75702.0,118443.0,86088.0,0.0
287814.0,120439.0,115995.0,112314.0,115867.0,160600.0,162915.0,140324.0,158486.0,7394.0,71967.0,113506.0,84199.0,0.0
311559.0,125736.0,120800.0,116911.0,120690.0,169356.0,170546.0,147676.0,167680.0,8379.0,67681.0,109538.0,88893.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136316.0,0.0,2153.0,0.0,84034.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124108.0,0.0,2158.0,0.0,70807.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201455.0,0.0,2169.0,0.0,160270.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277282.0,0.0,2171.0,0.0,247867.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111992.0,0.0,2636.0,0.0,67012.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109846.0,0.0,2639.0,0.0,66466.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2647.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,0.0,0.0
