BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1012,srf20,top,0,1,463226.2698,15224842.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224841.021100001 463227.2698 15224841.021100001 463227.2698 15224843.021100001 463225.2698 15224843.021100001
B1012,srf21,top,0,1,463226.2740909804,15224844.017588189,7,-0,0,1,3.982569223619066,roofs,14,0,463225.2698 15224843.021100001 463227.2698 15224843.021100001 463227.2698 15224845.021100001 463225.3286011361 15224845.021100001 463225.2698 15224844.428227905
B1012,srf22,top,0,1,463226.34790060803,15224846.003152275,7,-0,0,1,3.684037452330813,roofs,14,0,463225.3286011361 15224845.021100001 463227.2698 15224845.021100001 463227.2698 15224847.021100001 463225.52696141164 15224847.021100001
B1012,srf23,top,0,1,463226.4469733352,15224848.000986306,7,-0,0,1,3.2873169011436403,roofs,14,0,463225.52696141164 15224847.021100001 463227.2698 15224847.021100001 463227.2698 15224849.021100001 463225.72532168723 15224849.021100001
B1012,srf24,top,0,1,463226.54601657914,15224849.998225797,7,-0,0,1,2.8905963499564677,roofs,14,0,463225.72532168723 15224849.021100001 463227.2698 15224849.021100001 463227.2698 15224851.021100001 463225.92368196277 15224851.021100001
B1012,srf25,top,0,1,463226.6450162695,15224851.994587017,7,-0,0,1,2.493875799002126,roofs,14,0,463225.92368196277 15224851.021100001 463227.2698 15224851.021100001 463227.2698 15224853.021100001 463226.1220422383 15224853.021100001
B1012,srf26,top,0,1,463226.7439476892,15224853.989571534,7,-0,0,1,2.0971552478149533,roofs,14,0,463226.1220422383 15224853.021100001 463227.2698 15224853.021100001 463227.2698 15224855.021100001 463226.3204025139 15224855.021100001
B1012,srf27,top,0,1,463226.84276305424,15224855.982215773,7,-0,0,1,1.7004346966277808,roofs,14,0,463226.3204025139 15224855.021100001 463227.2698 15224855.021100001 463227.2698 15224857.021100001 463226.51876278943 15224857.021100001
B1012,srf28,top,0,1,463226.9413564185,15224857.970383292,7,-0,0,1,1.303714145673439,roofs,14,0,463226.51876278943 15224857.021100001 463227.2698 15224857.021100001 463227.2698 15224859.021100001 463226.71712306497 15224859.021100001
B1012,srf29,top,0,1,463227.03943647124,15224859.948199715,7,-0,0,1,0.9069935944862664,roofs,14,0,463226.71712306497 15224859.021100001 463227.2698 15224859.021100001 463227.2698 15224861.021100001 463226.91548334056 15224861.021100001
B1012,srf30,top,0,1,463227.1358059639,15224861.891522136,7,-0,0,1,0.5102730432990938,roofs,14,0,463226.91548334056 15224861.021100001 463227.2698 15224861.021100001 463227.2698 15224863.021100001 463227.1138436161 15224863.021100001
B1012,srf31,top,0,1,463227.2178145387,15224863.545251938,7,-0,0,1,0.12261726099663421,roofs,14,0,463227.1138436161 15224863.021100001 463227.2698 15224863.021100001 463227.2698 15224864.593555812
B1012,srf32,top,0,1,463228.295779288,15224824.398683248,7,-0,0,1,2.4846361931455543,roofs,14,0,463229.2698 15224823.681958286 463229.2698 15224825.021100001 463227.2698 15224825.021100001 463227.2698 15224823.875605524
B1012,srf33,top,0,1,463228.2698,15224826.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224825.021100001 463229.2698 15224825.021100001 463229.2698 15224827.021100001 463227.2698 15224827.021100001
B1012,srf34,top,0,1,463228.2698,15224828.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224827.021100001 463229.2698 15224827.021100001 463229.2698 15224829.021100001 463227.2698 15224829.021100001
B1012,srf35,top,0,1,463228.2698,15224830.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224829.021100001 463229.2698 15224829.021100001 463229.2698 15224831.021100001 463227.2698 15224831.021100001
B1012,srf36,top,0,1,463228.2698,15224832.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224831.021100001 463229.2698 15224831.021100001 463229.2698 15224833.021100001 463227.2698 15224833.021100001
B1012,srf37,top,0,1,463228.2698,15224834.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224833.021100001 463229.2698 15224833.021100001 463229.2698 15224835.021100001 463227.2698 15224835.021100001
B1012,srf38,top,0,1,463228.2698,15224836.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224835.021100001 463229.2698 15224835.021100001 463229.2698 15224837.021100001 463227.2698 15224837.021100001
B1012,srf39,top,0,1,463228.2698,15224838.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224837.021100001 463229.2698 15224837.021100001 463229.2698 15224839.021100001 463227.2698 15224839.021100001
B1012,srf40,top,0,1,463228.2698,15224840.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224839.021100001 463229.2698 15224839.021100001 463229.2698 15224841.021100001 463227.2698 15224841.021100001
B1012,srf41,top,0,1,463228.2698,15224842.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224841.021100001 463229.2698 15224841.021100001 463229.2698 15224843.021100001 463227.2698 15224843.021100001
B1012,srf42,top,0,1,463228.2698,15224844.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224843.021100001 463229.2698 15224843.021100001 463229.2698 15224845.021100001 463227.2698 15224845.021100001
B1012,srf43,top,0,1,463228.2698,15224846.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224845.021100001 463229.2698 15224845.021100001 463229.2698 15224847.021100001 463227.2698 15224847.021100001
B1012,srf44,top,0,1,463228.2698,15224848.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224847.021100001 463229.2698 15224847.021100001 463229.2698 15224849.021100001 463227.2698 15224849.021100001
B1012,srf45,top,0,1,463228.2698,15224850.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224849.021100001 463229.2698 15224849.021100001 463229.2698 15224851.021100001 463227.2698 15224851.021100001
B1012,srf46,top,0,1,463228.2698,15224852.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224851.021100001 463229.2698 15224851.021100001 463229.2698 15224853.021100001 463227.2698 15224853.021100001
B1012,srf47,top,0,1,463228.2698,15224854.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224853.021100001 463229.2698 15224853.021100001 463229.2698 15224855.021100001 463227.2698 15224855.021100001
B1012,srf48,top,0,1,463228.2698,15224856.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224855.021100001 463229.2698 15224855.021100001 463229.2698 15224857.021100001 463227.2698 15224857.021100001
B1012,srf49,top,0,1,463228.2698,15224858.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224857.021100001 463229.2698 15224857.021100001 463229.2698 15224859.021100001 463227.2698 15224859.021100001
B1012,srf50,top,0,1,463228.2698,15224860.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224859.021100001 463229.2698 15224859.021100001 463229.2698 15224861.021100001 463227.2698 15224861.021100001
B1012,srf51,top,0,1,463228.2698,15224862.021100001,7,-0,0,1,4,roofs,14,0,463227.2698 15224861.021100001 463229.2698 15224861.021100001 463229.2698 15224863.021100001 463227.2698 15224863.021100001
B1012,srf52,top,0,1,463228.27203923493,15224864.019152362,7,-0,0,1,3.990935231209733,roofs,14,0,463227.2698 15224863.021100001 463229.2698 15224863.021100001 463229.2698 15224865.021100001 463227.31220389163 15224865.021100001 463227.2698 15224864.593555812
B1012,srf53,top,0,1,463228.33970983874,15224866.003310634,7,-0,0,1,3.71683194115758,roofs,14,0,463227.31220389163 15224865.021100001 463229.2698 15224865.021100001 463229.2698 15224867.021100001 463227.5105641672 15224867.021100001
B1012,srf54,top,0,1,463228.4387845652,15224868.00118498,7,-0,0,1,3.320111389970407,roofs,14,0,463227.5105641672 15224867.021100001 463229.2698 15224867.021100001 463229.2698 15224869.021100001 463227.70892444276 15224869.021100001
B1012,srf55,top,0,1,463228.53783068183,15224869.998482399,7,-0,0,1,2.923390839016065,roofs,14,0,463227.70892444276 15224869.021100001 463229.2698 15224869.021100001 463229.2698 15224871.021100001 463227.9072847183 15224871.021100001
B1012,srf56,top,0,1,463228.6368347123,15224871.994931137,7,-0,0,1,2.5266702878288925,roofs,14,0,463227.9072847183 15224871.021100001 463229.2698 15224871.021100001 463229.2698 15224873.021100001 463228.1056449939 15224873.021100001
B1012,srf57,top,0,1,463228.73577313987,15224873.990056973,7,-0,0,1,2.1299497366417204,roofs,14,0,463228.1056449939 15224873.021100001 463229.2698 15224873.021100001 463229.2698 15224875.021100001 463228.3040052694 15224875.021100001
B1012,srf58,top,0,1,463228.8346009169,15224875.982951503,7,-0,0,1,1.733229185687378,roofs,14,0,463228.3040052694 15224875.021100001 463229.2698 15224875.021100001 463229.2698 15224877.021100001 463228.50236554496 15224877.021100001
B1012,srf59,top,0,1,463228.93321950897,15224877.97162775,7,-0,0,1,1.3365086345002055,roofs,14,0,463228.50236554496 15224877.021100001 463229.2698 15224877.021100001 463229.2698 15224879.021100001 463228.7007258205 15224879.021100001
B1012,srf60,top,0,1,463229.0313640012,15224879.950743617,7,-0,0,1,0.9397880834294483,roofs,14,0,463228.7007258205 15224879.021100001 463229.2698 15224879.021100001 463229.2698 15224881.021100001 463228.8990860961 15224881.021100001
B1012,srf61,top,0,1,463229.12799537816,15224881.899347018,7,-0,0,1,0.5430675323586911,roofs,14,0,463228.8990860961 15224881.021100001 463229.2698 15224881.021100001 463229.2698 15224883.021100001 463229.0974463716 15224883.021100001
B1012,srf62,top,0,1,463229.21234879055,15224883.60036124,7,-0,0,1,0.14975666422474224,roofs,14,0,463229.0974463716 15224883.021100001 463229.2698 15224883.021100001 463229.2698 15224884.758883717
B1012,srf63,top,0,1,463230.2922758487,15224824.302029237,7,-0,0,1,2.871930668096823,roofs,14,0,463231.2698 15224823.488311049 463231.2698 15224825.021100001 463229.2698 15224825.021100001 463229.2698 15224823.681958286
B1012,srf64,top,0,1,463230.2698,15224826.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224825.021100001 463231.2698 15224825.021100001 463231.2698 15224827.021100001 463229.2698 15224827.021100001
B1012,srf65,top,0,1,463230.2698,15224828.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224827.021100001 463231.2698 15224827.021100001 463231.2698 15224829.021100001 463229.2698 15224829.021100001
B1012,srf66,top,0,1,463230.2698,15224830.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224829.021100001 463231.2698 15224829.021100001 463231.2698 15224831.021100001 463229.2698 15224831.021100001
B1012,srf67,top,0,1,463230.2698,15224832.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224831.021100001 463231.2698 15224831.021100001 463231.2698 15224833.021100001 463229.2698 15224833.021100001
B1012,srf68,top,0,1,463230.2698,15224834.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224833.021100001 463231.2698 15224833.021100001 463231.2698 15224835.021100001 463229.2698 15224835.021100001
B1012,srf69,top,0,1,463230.2698,15224836.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224835.021100001 463231.2698 15224835.021100001 463231.2698 15224837.021100001 463229.2698 15224837.021100001
B1012,srf70,top,0,1,463230.2698,15224838.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224837.021100001 463231.2698 15224837.021100001 463231.2698 15224839.021100001 463229.2698 15224839.021100001
B1012,srf71,top,0,1,463230.2698,15224840.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224839.021100001 463231.2698 15224839.021100001 463231.2698 15224841.021100001 463229.2698 15224841.021100001
B1012,srf72,top,0,1,463230.2698,15224842.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224841.021100001 463231.2698 15224841.021100001 463231.2698 15224843.021100001 463229.2698 15224843.021100001
B1012,srf73,top,0,1,463230.2698,15224844.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224843.021100001 463231.2698 15224843.021100001 463231.2698 15224845.021100001 463229.2698 15224845.021100001
B1012,srf74,top,0,1,463230.2698,15224846.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224845.021100001 463231.2698 15224845.021100001 463231.2698 15224847.021100001 463229.2698 15224847.021100001
B1012,srf75,top,0,1,463230.2698,15224848.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224847.021100001 463231.2698 15224847.021100001 463231.2698 15224849.021100001 463229.2698 15224849.021100001
B1012,srf76,top,0,1,463230.2698,15224850.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224849.021100001 463231.2698 15224849.021100001 463231.2698 15224851.021100001 463229.2698 15224851.021100001
B1012,srf77,top,0,1,463230.2698,15224852.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224851.021100001 463231.2698 15224851.021100001 463231.2698 15224853.021100001 463229.2698 15224853.021100001
B1012,srf78,top,0,1,463230.2698,15224854.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224853.021100001 463231.2698 15224853.021100001 463231.2698 15224855.021100001 463229.2698 15224855.021100001
B1012,srf79,top,0,1,463230.2698,15224856.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224855.021100001 463231.2698 15224855.021100001 463231.2698 15224857.021100001 463229.2698 15224857.021100001
B1012,srf80,top,0,1,463230.2698,15224858.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224857.021100001 463231.2698 15224857.021100001 463231.2698 15224859.021100001 463229.2698 15224859.021100001
B1012,srf81,top,0,1,463230.2698,15224860.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224859.021100001 463231.2698 15224859.021100001 463231.2698 15224861.021100001 463229.2698 15224861.021100001
B1012,srf82,top,0,1,463230.2698,15224862.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224861.021100001 463231.2698 15224861.021100001 463231.2698 15224863.021100001 463229.2698 15224863.021100001
B1012,srf83,top,0,1,463230.2698,15224864.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224863.021100001 463231.2698 15224863.021100001 463231.2698 15224865.021100001 463229.2698 15224865.021100001
B1012,srf84,top,0,1,463230.2698,15224866.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224865.021100001 463231.2698 15224865.021100001 463231.2698 15224867.021100001 463229.2698 15224867.021100001
B1012,srf85,top,0,1,463230.2698,15224868.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224867.021100001 463231.2698 15224867.021100001 463231.2698 15224869.021100001 463229.2698 15224869.021100001
B1012,srf86,top,0,1,463230.2698,15224870.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224869.021100001 463231.2698 15224869.021100001 463231.2698 15224871.021100001 463229.2698 15224871.021100001
B1012,srf87,top,0,1,463230.2698,15224872.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224871.021100001 463231.2698 15224871.021100001 463231.2698 15224873.021100001 463229.2698 15224873.021100001
B1012,srf88,top,0,1,463230.2698,15224874.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224873.021100001 463231.2698 15224873.021100001 463231.2698 15224875.021100001 463229.2698 15224875.021100001
B1012,srf89,top,0,1,463230.2698,15224876.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224875.021100001 463231.2698 15224875.021100001 463231.2698 15224877.021100001 463229.2698 15224877.021100001
B1012,srf90,top,0,1,463230.2698,15224878.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224877.021100001 463231.2698 15224877.021100001 463231.2698 15224879.021100001 463229.2698 15224879.021100001
B1012,srf91,top,0,1,463230.2698,15224880.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224879.021100001 463231.2698 15224879.021100001 463231.2698 15224881.021100001 463229.2698 15224881.021100001
B1012,srf92,top,0,1,463230.2698,15224882.021100001,7,-0,0,1,4,roofs,14,0,463229.2698 15224881.021100001 463231.2698 15224881.021100001 463231.2698 15224883.021100001 463229.2698 15224883.021100001
B1012,srf93,top,0,1,463230.2706457522,15224884.020321423,7,-0,0,1,3.996590316877701,roofs,14,0,463229.2698 15224883.021100001 463231.2698 15224883.021100001 463231.2698 15224885.021100001 463229.29580664716 15224885.021100001 463229.2698 15224884.758883717
B1012,srf94,top,0,1,463230.3315189321,15224886.00346622,7,-0,0,1,3.7496264301007614,roofs,14,0,463229.29580664716 15224885.021100001 463231.2698 15224885.021100001 463231.2698 15224887.021100001 463229.49416692276 15224887.021100001
B1012,srf95,top,0,1,463230.43059560243,15224888.001379766,7,-0,0,1,3.3529058790300046,roofs,14,0,463229.49416692276 15224887.021100001 463231.2698 15224887.021100001 463231.2698 15224889.021100001 463229.6925271983 15224889.021100001
B1012,srf96,top,0,1,463230.52964450215,15224889.998733308,7,-0,0,1,2.9561853278428316,roofs,14,0,463229.6925271983 15224889.021100001 463231.2698 15224889.021100001 463231.2698 15224891.021100001 463229.8908874738 15224891.021100001
