SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf52,B1009,top,0,1,463165.02,15225042.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225041.561900001 463166.02280000004 15225041.561900001 463166.02280000004 15225043.561900001 463164.02280000004 15225043.561900001,1051836.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf52
srf53,B1009,top,0,1,463165.02,15225044.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225043.561900001 463166.02280000004 15225043.561900001 463166.02280000004 15225045.561900001 463164.02280000004 15225045.561900001,1051702.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf53
srf54,B1009,top,0,1,463165.02,15225046.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225045.561900001 463166.02280000004 15225045.561900001 463166.02280000004 15225047.561900001 463164.02280000004 15225047.561900001,1057507.00,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf54
srf55,B1009,top,0,1,463165.02,15225048.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225047.561900001 463166.02280000004 15225047.561900001 463166.02280000004 15225049.561900001 463164.02280000004 15225049.561900001,1061437.12,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf55
srf56,B1009,top,0,1,463165.02,15225050.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225049.561900001 463166.02280000004 15225049.561900001 463166.02280000004 15225051.561900001 463164.02280000004 15225051.561900001,1065350.88,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf56
srf57,B1009,top,0,1,463165.02,15225052.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225051.561900001 463166.02280000004 15225051.561900001 463166.02280000004 15225053.561900001 463164.02280000004 15225053.561900001,1066001.12,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf57
srf58,B1009,top,0,1,463165.00,15225054.36,7.00,0.00,-0.00,1,3.18,roofs,10,0,463164.02280000004 15225053.561900001 463166.02280000004 15225053.561900001 463166.02280000004 15225055.068078868 463164.02280000004 15225055.240601417,1066661.12,0.00,15.33,3.65,0.00,1.70,5,6,10,roofs_top,srf58
srf59,B1009,top,0,1,463167.06,15225011.17,7.00,0.00,-0.00,1,1.54,roofs,10,0,463168.02280000004 15225010.704316305 463168.02280000004 15225011.561900001 463166.02280000004 15225011.561900001 463166.02280000004 15225010.87683723,987235.50,0.00,15.33,3.65,0.00,0.82,5,6,10,roofs_top,srf59
srf60,B1009,top,0,1,463167.02,15225012.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225011.561900001 463168.02280000004 15225011.561900001 463168.02280000004 15225013.561900001 463166.02280000004 15225013.561900001,991384.88,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf60
srf61,B1009,top,0,1,463167.02,15225014.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225013.561900001 463168.02280000004 15225013.561900001 463168.02280000004 15225015.561900001 463166.02280000004 15225015.561900001,986184.12,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf61
srf62,B1009,top,0,1,463167.02,15225016.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225015.561900001 463168.02280000004 15225015.561900001 463168.02280000004 15225017.561900001 463166.02280000004 15225017.561900001,984423.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf62
srf63,B1009,top,0,1,463167.02,15225018.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225017.561900001 463168.02280000004 15225017.561900001 463168.02280000004 15225019.561900001 463166.02280000004 15225019.561900001,987944.31,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf63
srf64,B1009,top,0,1,463167.02,15225020.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225019.561900001 463168.02280000004 15225019.561900001 463168.02280000004 15225021.561900001 463166.02280000004 15225021.561900001,990816.00,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf64
srf65,B1009,top,0,1,463167.02,15225022.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225021.561900001 463168.02280000004 15225021.561900001 463168.02280000004 15225023.561900001 463166.02280000004 15225023.561900001,983795.38,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf65
srf66,B1009,top,0,1,463167.02,15225024.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463166.02280000004 15225023.561900001 463168.02280000004 15225023.561900001 463168.02280000004 15225025.561900001 463166.02280000004 15225025.561900001,981456.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf66
