SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf29,B1003,top,0,1,463121.54,15224866.35,16.00,-0.00,0.00,1,0.19,roofs,3,0,463122.0832 15224866.251600001 463122.0832 15224866.392399643 463121.08790000004 15224866.485000001 463121.0661499735 15224866.251600001,1092661.12,0.00,15.33,1.82,-0.00,0.10,5,6,10,roofs_top,srf29
srf30,B1003,top,0,1,463123.15,15224834.01,16.00,-0.00,0.00,1,0.95,roofs,3,0,463124.0832 15224833.686403692 463124.0832 15224834.251600001 463122.0832 15224834.251600001 463122.0832 15224833.871435795,1086488.50,0.00,15.33,1.82,-0.00,0.50,5,6,10,roofs_top,srf30
srf31,B1003,top,0,1,463123.08,15224835.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224834.251600001 463124.0832 15224834.251600001 463124.0832 15224836.251600001 463122.0832 15224836.251600001,1088649.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf31
srf32,B1003,top,0,1,463123.08,15224837.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224836.251600001 463124.0832 15224836.251600001 463124.0832 15224838.251600001 463122.0832 15224838.251600001,1088884.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf32
srf33,B1003,top,0,1,463123.08,15224839.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224838.251600001 463124.0832 15224838.251600001 463124.0832 15224840.251600001 463122.0832 15224840.251600001,1091940.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf33
srf34,B1003,top,0,1,463123.08,15224841.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224840.251600001 463124.0832 15224840.251600001 463124.0832 15224842.251600001 463122.0832 15224842.251600001,1091940.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf34
srf35,B1003,top,0,1,463123.08,15224843.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224842.251600001 463124.0832 15224842.251600001 463124.0832 15224844.251600001 463122.0832 15224844.251600001,1094533.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf35
srf36,B1003,top,0,1,463123.08,15224845.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224844.251600001 463124.0832 15224844.251600001 463124.0832 15224846.251600001 463122.0832 15224846.251600001,1094516.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf36
srf37,B1003,top,0,1,463123.08,15224847.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224846.251600001 463124.0832 15224846.251600001 463124.0832 15224848.251600001 463122.0832 15224848.251600001,1094516.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf37
srf38,B1003,top,0,1,463123.08,15224849.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224848.251600001 463124.0832 15224848.251600001 463124.0832 15224850.251600001 463122.0832 15224850.251600001,1094516.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf38
srf39,B1003,top,0,1,463123.08,15224851.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224850.251600001 463124.0832 15224850.251600001 463124.0832 15224852.251600001 463122.0832 15224852.251600001,1094516.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf39
srf40,B1003,top,0,1,463123.08,15224853.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224852.251600001 463124.0832 15224852.251600001 463124.0832 15224854.251600001 463122.0832 15224854.251600001,1094007.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf40
srf41,B1003,top,0,1,463123.08,15224855.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224854.251600001 463124.0832 15224854.251600001 463124.0832 15224856.251600001 463122.0832 15224856.251600001,1095667.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf41
srf42,B1003,top,0,1,463123.08,15224857.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224856.251600001 463124.0832 15224856.251600001 463124.0832 15224858.251600001 463122.0832 15224858.251600001,1096014.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf42
srf43,B1003,top,0,1,463123.08,15224859.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463122.0832 15224858.251600001 463124.0832 15224858.251600001 463124.0832 15224860.251600001 463122.0832 15224860.251600001,1094207.12,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf43
